"task_id","data_id","method","hm","tol","active_ratio_q","iterations","runtime","time_init","time_loop","time_local","time_global","time_total","time_elbo","memory_peak","memory_total","ELBO","AUROC","AUPRC","TP","FP","TN","FN","precision","recall","FPR"
1,1,"AFE",0.05,0.01,0.005,448,1457.773,191.616,665.825000000007,806.866000000016,261.019000000007,1244.83268547058,146.762000000001,3776.9,76.7,-155915889.103965,0.9999994999965,0.875,21,10,2999969,0,0.67741935483871,1,3.33335666683e-06
1,1,"AFI",0.05,0.01,0.005,454,1121.77,197.900000000001,297.11299999999,444.210999999995,274.373000000005,902.403852939606,152.695999999982,3566,77.1000000000001,-155915889.200853,0.9999994999965,0.875,21,10,2999969,0,0.67741935483871,1,3.33335666683e-06
1,1,"AFIO",0.05,0.01,0.005,454,966.192,200.447,250.227999999994,396.458000000026,273.651999999974,744.179849624634,43.0550000000012,3634,77.1000000000001,-155915889.200853,0.9999994999965,0.875,21,10,2999969,0,0.67741935483871,1,3.33335666683e-06
1,1,"RF",0.05,0.01,0.005,448,1438.526,193.559,670.113000000004,808.938,254.745,1223.39919948578,144.222000000003,3983.5,76.7,-155915889.139637,0.9999994999965,0.875,21,10,2999969,0,0.67741935483871,1,3.33335666683e-06
1,1,"Vanilla",0.05,0.01,0.005,448,2098.218,170.266,1356.98,1495.892,252.800999999995,1908.7958984375,144.812000000004,3945.3,77.2,-155915889.092039,0.9999994999965,0.875,21,10,2999969,0,0.67741935483871,1,3.33335666683e-06
2,2,"AFE",0.05,0.01,0.005,449,3305.398,521.504000000001,1198.67800000002,1522.54700000002,791.065000000017,2727.2813410759,333.306000000017,3776.9,76.7,-155927547.267595,0.999991473030168,0.967880391142979,30,7,2999962,1,0.810810810810811,0.967741935483871,2.3333574446936e-06
2,2,"AFI",0.05,0.01,0.005,453,2628.943,521.679,507.151999999995,833.903000000004,798.476999999977,2050.55362510681,337.000999999989,3566,77,-155927547.354825,0.999991462277368,0.96787893857685,30,7,2999962,1,0.810810810810811,0.967741935483871,2.3333574446936e-06
2,2,"AFIO",0.05,0.01,0.005,453,2398.538,522.374000000002,513.111999999976,843.451000000014,799.874999999993,1818.9035551548,94.3220000000092,3634,77,-155927547.354825,0.999991462277368,0.96787893857685,30,7,2999962,1,0.810810810810811,0.967741935483871,2.3333574446936e-06
2,2,"RF",0.05,0.01,0.005,449,3516.234,521.643,1439.47399999999,1765.641,792.270999999992,2937.55673027039,337.795999999997,3983.5,76.7,-155927547.257122,0.999991483782967,0.967881847245463,30,7,2999962,1,0.810810810810811,0.967741935483871,2.3333574446936e-06
2,2,"Vanilla",0.05,0.01,0.005,448,4808.984,522.024,2726.25700000001,3053.90200000001,791.515000000005,4226.66853046417,339.202999999996,3945.3,77.2,-155927547.264139,0.999991483782967,0.967881847245463,30,7,2999962,1,0.810810810810811,0.967741935483871,2.3333574446936e-06
3,3,"AFE",0.05,0.01,0.005,471,1336.405,200.705,481.255000000001,631.207000000006,294.999999999984,1113.64489817619,154.814999999999,3764.3,78.2,-155945592.714338,0.998941839153922,0.935404175583225,33,7,2999957,3,0.825,0.916666666666667,2.33336133366934e-06
3,3,"AFI",0.05,0.01,0.005,463,1035.352,196.641000000001,195.834000000005,343.517000000002,289.751,816.669813871384,151.578999999987,3553.8,77.7,-155945592.860453,0.998938737264847,0.935393063244014,33,7,2999957,3,0.825,0.916666666666667,2.33336133366934e-06
3,3,"AFIO",0.05,0.01,0.005,463,922.092000000001,196.725,195.436000000001,342.875999999994,289.647000000001,703.221920251846,38.8229999999967,3553.8,77.7,-155945592.860453,0.998938737264847,0.935393063244014,33,7,2999957,3,0.825,0.916666666666667,2.33336133366934e-06
3,3,"RF",0.05,0.01,0.005,452,1376.756,200.483,556.212000000009,701.89100000001,284.987000000014,1153.59682011604,150.296999999999,3983.5,76.9000000000001,-155945611.259204,0.99893905208344,0.906407717742877,33,9,2999955,3,0.785714285714286,0.916666666666667,3.00003600043201e-06
3,3,"Vanilla",0.05,0.01,0.005,460,1652.212,160.501,950.070000000001,1080.453,243.382,1473.01862382889,134.567,3945.3,78,-155945592.756152,0.998943422506255,0.935404188573077,33,7,2999957,3,0.825,0.916666666666667,2.33336133366934e-06
4,4,"AFE",0.05,0.01,0.005,449,961.44,148.68,341.179000000001,454.299,203.955999999995,796.359371900558,114.425000000006,3776.9,76.7,-155904717.471498,0.999921608094648,0.91133908439559,22,9,2999968,1,0.709677419354839,0.956521739130435,3.00002300017633e-06
4,4,"AFI",0.05,0.01,0.005,453,769.933,148.932,145.494000000003,259.436000000002,205.661999999991,604.233890295029,115.314000000002,3566,77,-155904717.574835,0.999921477658865,0.91133878512951,22,9,2999968,1,0.709677419354839,0.956521739130435,3.00002300017633e-06
4,4,"AFIO",0.05,0.01,0.005,453,686.358999999999,149.925,144.632999999999,258.699999999992,205.591000000001,519.487501382828,31.4609999999921,3634,77,-155904717.574835,0.999921477658865,0.91133878512951,22,9,2999968,1,0.709677419354839,0.956521739130435,3.00002300017633e-06
4,4,"RF",0.05,0.01,0.005,449,1026.043,147.889,418.020999999993,530.709999999999,203.425999999998,861.731914520264,115.178000000003,3983.5,76.7,-155904717.46379,0.999921622587512,0.911339117708766,22,9,2999968,1,0.709677419354839,0.956521739130435,3.00002300017633e-06
4,4,"Vanilla",0.05,0.01,0.005,448,1347.247,148.309,738.934,851.778999999998,202.579,1181.17192792892,114.507999999999,3945.3,77.2,-155904717.468546,0.999921622587512,0.911339117708766,22,9,2999968,1,0.709677419354839,0.956521739130435,3.00002300017633e-06
